cleaned_question,i find going to art galleries boring,i clean my office or room very frequently,i dont hold much of a grudge even against people who have treated me unfairly,overall i am quite satisfied with myself,i would be scared to fly in bad weather,i am very interested in learning about the history and politics of other countries,when working i set ambitious goals,i sometimes hear that i am too critical of others,i usually dont express my opinions in group gatherings,i sometimes worry excessively about trivial things,if i were sure i wouldnt get caught i could steal millions of won,i would prefer a job that involves just following a routine over one that requires creativity,i often check and recheck the work i have done to spot errors,people often say that i am very stubborn,i dont enjoy making small talk with others,when i am in pain or going through tough times i need someone to comfort me,earning a lot of money is not very important in my life,i think its a waste of time to be interested in radical ideas,i tend to make decisions based on momentary feelings rather than careful thought,i often hear that i have a quick temper,i am always energetic,when i see someone else cry i feel like crying too,i consider myself an ordinary person and dont think im superior to others,attention check check what is written here,i rarely spend time reading poetry,i tend to plan ahead to avoid rushing at the last minute,i think some aspects of my personality are likable to others,i wouldnt mind having a job that involves some risk,i wouldnt flatter my boss just to get a promotion or raise,i enjoy looking at maps of different regions,i push myself very hard to achieve my goals,i tend to accept other peoples mistakes without complaining,i dont worry excessively compared to others,if i were in financial trouble i might feel tempted to find ways to buy stolen goods cheaply,i enjoy creating artistic or creative works such as novels music or paintings,i tend to make a lot of mistakes because i dont pay much attention to details,when my opinion differs from others i dont insist on my way,i enjoy being around a lot of people to talk with,even without emotional support from others i can get through difficult situations well,i want to live in a neighborhood where wealthy or upperclass people reside,i like people who have unconventional viewpoints,i often make mistakes because i dont think deeply before acting,even if someone treats me badly i dont easily get angry,i am cheerful and optimistic almost every day,if a close friend goes through misfortune i feel their pain as if it were my own,i feel uncomfortable when others treat me like someone important,if i had the chance i would love to attend a classical music concert,people sometimes tease me about my messy room or desk,i will always be suspicious of someone who has deceived me even if it was just once,i feel like im not particularly popular,i get more scared than others in dangerous situations,if there is something to gain i will flatter someone even if i dont like them,i find reading books about the history of science and technology boring,even after setting a goal i often fail to accomplish it,i am very lenient when it comes to judging others,i often represent the group i belong to,i rarely experience insomnia due to stress or anxiety,i would never accept a bribe no matter the amount,people often say i have a rich imagination,i always try to finish tasks accurately even if it takes a long time,if someone tells me im wrong i immediately start arguing with them,i prefer interacting with others rather than working alone,when i have worries i want to share and discuss them with others,i want to show off by driving a very expensive luxury car,i think of myself as a bit eccentric,i dont act impulsively,compared to others im not quick to anger,people often tell me i need to be more outgoing,if i had to be separated from a close friend for a long time i would feel very sad at the moment of parting,i think i am more deserving of respect than the average person,sometimes i like spending time watching leaves swaying in the wind,when doing something i sometimes have difficulties because i dont plan well enough,attention check check what is written here.1,its hard for me to completely forgive and forget when someone has wronged me,i sometimes think i am a worthless person,even in extremely urgent situations i do not panic,i wouldnt pretend to like someone just to get a favor,i rarely spend time flipping through encyclopedias,i want to live doing just the minimum work required for survival,even if someone repeatedly makes mistakes i dont like to say unpleasant things to them,i feel awkward when i have to give a presentation in front of many people,i tend to worry a lot when i am waiting for an important outcome,if i were guaranteed not to get caught i would feel tempted to use counterfeit money,i am not the artistic or creative type,people often call me a perfectionist,when i believe my opinion is right i have difficulty compromising with others,in a new environment the first thing i do is make friends,i rarely discuss my problems with others,i want to have luxurious and expensive designer goods,discussing philosophy bores me,i prefer to do whatever i feel like at the moment rather than following a plan,if someone offends me i have difficulty holding back my anger,compared to others i am not very lively or active,i want others to treat me like an important highstatus person,i feel compassion and sympathy for people in unfortunate situations,i frequently make donations to help people in need,i can hurt people i dislike without any remorse,people think i am coldhearted,cluster
when off the leash returns immediately when called,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,0.87,0.87,0.88,0.9,0.84,,0.92,0.89,0.87,0.82,0.85,0.85,0.87,0.85,0.85,,0.83,0.83,,0.84,0.87,0.86,0.83,0.84,,,0.82,0.85,0.89,0.84,0.82,0.86,0.8,0.87,0.81,0.86,0.86,0.87,0.87,0.85,0.88,0.85,0.86,0.87,0.86,,0.86,0.88,0.8,,0.83,0.84,0.87,0.87,,0.92,,0.85,0.86,0.81,0.84,0.84,,0.87,0.84,0.83,0.84,0.88,0.86,0.86,0.88,,0.87,0.86,0.9,,0.86,0.81,0.86,0.85,0.88,
obeys the sit command immediately,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,0.81,0.81,0.83,0.86,,,0.87,0.83,0.8,,0.82,0.82,0.83,0.82,0.8,,,0.81,,0.81,0.82,,,0.8,,,,,0.82,,,0.8,0.81,0.82,,0.83,0.81,0.82,0.82,0.81,0.82,,0.8,0.82,0.82,,0.8,0.81,0.81,0.8,,,0.81,0.81,,0.87,,0.8,0.82,0.8,,0.8,,0.82,,,0.82,0.81,0.81,0.81,0.82,,0.84,0.8,0.84,,0.81,,0.8,0.8,0.82,
obeys the stay command immediately,,,,,,,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
seems to attendlisten closely to everything you say or do,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,0.86,0.83,0.85,0.86,0.81,0.84,0.87,0.84,0.82,0.83,0.85,0.83,0.85,0.84,0.84,0.83,,0.83,0.81,0.86,0.85,0.83,0.82,0.83,0.84,0.82,0.81,0.84,0.83,,,0.83,0.83,0.84,0.84,0.84,0.83,0.84,0.85,0.83,0.8,0.82,0.83,0.84,0.84,0.82,0.82,0.82,0.82,0.83,0.81,0.82,0.83,0.84,0.83,0.87,0.81,0.82,0.85,0.82,0.81,0.83,0.83,0.84,0.82,,0.85,0.81,0.84,0.83,0.82,0.82,0.85,0.82,0.84,0.82,0.85,0.85,0.81,0.82,0.82,
slow to respond to correction or punishment thickskinned,0.8,,,,,,,0.8,,,,,,,0.8,,,,,0.8,0.8,,,0.8,,,,,,,,,,,,,0.8,,,,,,,,0.8,,,,,,0.81,,0.8,,0.8,,0.8,,,,,,,,,,0.82,,,,,,0.8,,,0.8,,,,,,,,,,0.8,,,,0.8,,0.8,,,,,,,
slow to learn new tricks or tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
easily distracted by interesting sights sounds or smells,0.83,,,,,,,,,0.82,,,,,,0.8,,0.81,0.8,,0.81,,,0.8,0.81,0.8,,,,0.82,,,,,0.8,,,0.8,,,,,,,0.8,0.81,,,0.8,,0.81,,0.84,0.8,,,,,,0.8,,0.8,,,0.8,,,,,,0.82,,0.8,,,,,0.8,,,0.8,,,,,,0.8,,,0.82,,0.81,,,,,,0.8,
will fetch or attempt to fetch sticks balls or objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when verbally corrected or punished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when approached by an unfamiliar adult while on a leash,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,0.81,0.81,,,0.81,0.81,,,,,0.8,,,,,0.8,,,0.8,,,,,,,,0.82,,,,,0.82,,0.83,,0.8,,0.8,,,,0.8,0.8,,,,,,,,,0.8,,0.81,,,0.8,,,,,,,,,,0.8,,,,0.81,,0.82,,,0.8,,,0.8,
when approached by an unfamiliar child while on a leash,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,0.8,0.8,0.82,0.82,,,0.82,0.82,,,,,0.81,,,,,0.81,,,0.81,,,,,,,0.81,0.83,,,0.8,,0.82,,0.84,0.8,0.81,,0.8,0.8,,,0.81,0.8,,,,,,,,0.8,0.82,,0.82,,,0.8,,,,,0.8,,,,0.8,0.8,,0.8,,0.82,,0.83,,,0.81,,,0.81,
toward unfamiliar persons approaching the dog while in your car,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when toys bones or other objects are taken away by a household member,0.8,,,,,,,,,,,,,,,0.81,,,,,,,,0.8,,,,,,,,,,,0.8,,,,,,,,,,0.81,0.81,,,,,0.81,,0.82,,,,,,,,0.8,,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,0.81,,,0.81,,,,
when bathed or groomed by a household member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when an unfamiliar person approaches you or another member of your family at home,0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,0.81,,,,,,,,,,,,,,0.8,0.8,,,,,,0.82,0.82,,,,,0.83,,0.82,,,,0.81,,,,0.81,,,,,0.81,,,,,0.8,,0.81,,,,,,,0.8,0.8,,,,,,,,,,,0.8,,,0.81,,,,
when an unfamiliar person approaches you or another member of your family away from your home,0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,0.8,,0.8,0.81,,0.8,,0.83,0.8,,,0.8,,0.8,,,,,0.8,,,0.81,0.81,,,,0.8,,0.84,0.84,,0.8,0.8,,0.84,0.81,0.83,0.8,0.81,,0.82,,,0.8,0.83,0.8,,,,0.81,,,,0.8,0.81,,0.83,0.8,,0.8,0.8,,,0.81,0.82,,,,,0.8,0.81,0.8,,,,0.83,,,0.82,,0.8,0.8,
when approached by household member while eating,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when mailmen or other delivery workers approach your home,0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,0.86,0.87,0.87,0.87,0.86,0.86,0.8,0.9,0.89,0.87,0.85,0.85,0.86,0.85,0.86,0.85,,0.85,0.83,,0.83,0.87,0.86,0.85,0.84,0.81,0.81,0.82,0.87,0.9,0.84,0.86,0.86,0.8,0.88,0.82,0.86,0.86,0.86,0.86,0.86,0.87,0.85,0.86,0.87,0.85,0.8,0.85,0.87,0.82,0.8,0.84,0.85,0.87,0.87,,0.9,0.82,0.85,0.85,0.83,0.86,0.84,0.81,0.88,0.85,0.84,0.84,0.87,0.85,0.87,0.89,0.8,0.86,0.85,0.89,,0.87,0.83,0.84,0.87,0.89,
when hisher food is taken away by a household member,0.87,,,0.89,0.87,0.83,0.88,0.85,,0.89,0.8,0.88,0.8,0.85,,0.82,0.85,0.89,0.86,0.87,0.89,0.87,,0.9,0.9,0.87,0.84,0.84,0.86,0.87,0.85,0.86,,0.84,0.81,,0.82,0.85,0.84,0.85,0.84,,,0.8,0.87,0.9,0.84,0.85,0.86,,0.87,,0.87,0.87,0.85,0.87,0.83,0.89,0.87,0.84,0.87,0.85,0.8,0.86,0.89,,,0.84,0.86,0.87,0.87,,0.9,0.81,0.87,0.83,0.81,0.86,0.85,,0.89,0.84,0.85,0.85,0.88,0.85,0.88,0.9,0.81,0.88,0.85,0.9,,0.87,0.8,0.84,0.86,0.9,
when strangers walk past your home while your dog is outside or in the yard,0.82,,,,,,,,,0.82,,0.8,,,0.8,0.83,,0.8,,0.8,0.8,0.81,,0.82,0.81,,,,,0.8,,,,,0.8,,,0.81,0.8,,,,,,0.83,0.83,,0.8,0.8,,0.83,,0.83,,0.8,,0.8,,,0.8,0.81,,,,,0.8,,,,,0.83,,0.82,,,,,,,0.8,0.81,,,,,,0.81,0.8,,0.81,,0.82,,,0.81,,0.8,0.81,
when an unfamiliar person tries to touch or pet the dog,0.82,,,,0.8,0.8,,0.81,,0.82,,0.8,,,,0.83,,0.8,0.81,0.81,0.81,0.82,,0.82,0.81,,,,,0.81,,0.8,,,0.8,,,0.81,0.81,,,,,,0.84,0.84,,0.81,0.8,,0.84,0.8,0.83,0.81,0.81,0.81,0.81,,,0.8,0.84,0.8,,,,,,,,0.8,0.82,,0.82,,,0.81,,,,0.8,0.82,,,,,0.81,0.81,0.8,,0.81,,0.84,,0.8,0.8,,0.81,0.81,
when joggers cyclists rollerbladers pass your home while your dog is outside or in the yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
when approached by an unfamiliar male dog while on a leash,0.87,,,0.85,0.85,0.83,0.85,0.84,0.8,0.87,,0.85,0.81,0.84,0.8,0.82,0.82,0.85,0.85,0.87,0.87,0.83,,0.87,0.87,0.84,0.82,0.82,0.83,0.85,0.84,0.84,,0.82,0.83,,0.81,0.86,0.83,0.83,0.83,,,0.81,0.84,0.88,0.82,0.82,0.85,,0.86,0.8,0.87,0.85,0.86,0.85,0.85,0.86,0.82,0.83,0.86,0.85,,0.83,0.86,0.8,,0.82,0.82,0.85,0.86,,0.87,,0.84,0.84,0.8,0.83,0.82,,0.85,0.82,0.82,0.84,0.86,0.85,0.84,0.86,,0.86,0.83,0.88,,0.84,0.83,0.83,0.84,0.86,
when approached by an unfamiliar female dog while on a leash,0.86,0.8,,0.84,0.84,0.83,0.84,0.84,0.8,0.86,,0.85,0.8,0.83,0.8,0.82,0.82,0.85,0.84,0.86,0.87,0.82,,0.87,0.87,0.84,0.81,0.82,0.82,0.85,0.83,0.83,,0.81,0.83,,0.81,0.85,0.83,0.82,0.83,,,0.8,0.84,0.87,0.81,0.82,0.84,,0.86,0.8,0.86,0.84,0.85,0.84,0.84,0.85,0.82,0.83,0.85,0.84,,0.83,0.85,0.8,,0.81,0.81,0.84,0.85,,0.87,,0.83,0.84,0.8,0.82,0.82,,0.85,0.81,0.81,0.83,0.85,0.84,0.84,0.86,,0.86,0.82,0.87,,0.84,0.83,0.83,0.84,0.86,
when stared at directly by a member of the household,0.86,,,0.82,0.83,0.82,0.83,0.83,,0.86,,0.83,,0.82,0.8,0.81,0.82,0.84,0.83,0.84,0.84,0.8,,0.85,0.85,0.82,0.81,0.8,0.82,0.83,0.83,0.82,,0.81,0.82,,0.8,0.84,0.81,0.82,0.81,,,,0.84,0.87,0.81,0.82,0.83,,0.84,,0.86,0.83,0.83,0.83,0.81,0.83,0.81,0.81,0.83,0.84,,0.82,0.84,,,0.82,0.81,0.84,0.84,,0.85,,0.83,0.82,0.8,0.83,0.82,,0.85,0.81,0.8,0.83,0.84,0.82,0.83,0.84,,0.85,0.81,0.86,,0.83,0.82,0.8,0.83,0.85,
toward unfamiliar dogs visiting your home,0.83,,,0.82,0.83,0.82,0.82,0.82,,0.84,,0.82,,0.8,,0.81,0.8,0.83,0.83,0.82,0.83,0.8,,0.84,0.84,0.83,0.82,0.8,0.81,0.82,0.82,0.81,,0.8,0.81,,,0.82,0.81,0.81,0.81,,,,0.84,0.86,0.82,,0.84,,0.83,,0.84,0.82,0.83,0.82,0.82,0.83,0.81,0.8,0.81,0.82,,0.81,0.83,,,0.81,0.82,0.83,0.85,,0.84,,0.82,0.8,,0.82,0.81,,0.83,,,0.82,0.83,0.81,0.83,0.84,,0.84,0.81,0.85,,0.83,0.82,0.8,0.83,0.85,
toward cats squirrels or other animals entering your yard,0.8,,,,,0.8,,,,0.8,,,,,,0.8,,,,,0.8,,,0.82,0.81,,,,,0.8,,,,,0.81,,,0.8,,,,,,,0.81,0.82,,,0.8,,0.81,,0.81,,0.8,,,,,,,,,,,,,,,0.8,0.82,,0.82,,,,,,,,,,,,,,,0.8,,0.8,,0.81,,,,,0.8,0.81,
toward unfamiliar persons visiting your home,0.8,,,,,0.81,,0.8,,0.81,,,,,,,,0.8,0.8,0.8,0.8,,,0.82,0.81,,,,,,0.8,,,,0.8,,,0.8,,,,,,,0.82,0.83,,,0.81,,0.8,,0.81,,0.81,0.8,0.8,0.8,,,,0.8,,,0.8,,,,,0.81,0.81,,0.82,,,,,,,,0.8,,,,0.8,,,0.82,,0.8,,0.82,,0.8,0.81,,0.81,0.82,
