Unnamed: 0,a11,a17,a23,a30,a36,a42,a48,a54,a60,a66,a72,a79,a85,a91,a97,a100,Upper_Scale,Lower_Scale,b5,b9,b10,b11,b13,b14,b17,b19,b30,b32,b33,b34,b35,b49,b50,b51,b52,b4,b8,b25,b66,b67,b68,b73,b77,b78,b79,b96,b97,b98,b103,b107,b108,b109,a1,a6,a12,a18,a25,a31,a37,a43,a49,a55,a61,a67,a73,a80,a86,a92,a5,a10,a16,a22,a29,a35,a41,a47,a53,a59,a65,a71,a77,a78,a84,a90,a96,a98,a2,a7,a13,a19,a24,a26,a32,a38,a44,a50,a56,a62,a68,a74,a75,a81,a87,a93
b31,0.81,,,,,0.8,,,,0.8,,,,,0.8,0.81,Honesty-Humility,"Self-Control, Responsibility, Trustworthiness, Fairness, Modesty, Respect for Possessions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b87,0.86,,,0.93,0.89,0.85,0.91,0.84,,0.91,,0.91,,0.84,0.8,0.82,Honesty-Humility,"Self-Control, Responsibility, Trustworthiness, Fairness, Modesty, Respect for Possessions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a14,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a20,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a27,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a33,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a39,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.83,,,,,,,,,0.82,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a45,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a51,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a57,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a63,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a69,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a76,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.8,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a82,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a88,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a94,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a99,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a101,,,,,,,,,,,,,,,,,Agreeableness,"Cooperativeness, Consideration, Compromise, Forgiveness, Altruism, Patience",0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a15,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a21,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a28,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a34,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a40,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.83,,,,,,,,,0.82,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a46,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a52,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a58,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a64,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a70,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a83,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a89,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a95,,,,,,,,,,,,,,,,,Extraversion,"Sociability, Activity Level, Social Confidence, Pleasure Seeking, Affectionateness, Social Boldness",,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b69,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b70,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b71,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b72,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b76,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b81,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,0.82,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b82,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b84,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b90,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b99,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b100,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b101,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b102,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b106,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b111,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b112,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b114,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b120,,,,,,,,,,,,,,,,,Openness to Experience,"Curiosity, Adaptability, Adventurousness, Environmental Sensitivity, Acceptance of Diversity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.89,0.87,0.83,0.88,0.85,,0.89,0.8,0.88,0.8,0.85,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b12,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,0.87,,,,,,,,,,,,,,,,,,
b15,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,0.81,,,,,,,,,,,,,,,,,,
b16,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b18,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,0.86,,,,,,,,,,,,,,,,,,
b20,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,
b21,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b22,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,0.82,,,,,,0.8,,0.81,,,,,,,,,,,,,,,,,,
b23,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b24,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b26,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,,,,,,,,,,,,,,,,,
b27,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,0.8,,,,,,,,,,,,,,,,,,
b28,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b29,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
b36,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,,,,,,,,,,,,,
b38,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,0.8,,,,,,,,,,,,,,,,,,,
b39,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b40,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,0.86,0.87,,,,,,,,,,,,,,,,,,
b41,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.89,0.87,0.83,0.88,0.85,,0.89,0.8,0.88,0.8,0.85,,0.82,0.85,0.89,,,,,,,,,,,,,,,,,,
b42,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,0.82,,0.8,,,0.8,0.83,,0.8,,,,,,,,,,,,,,,,,,
b43,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.8,0.8,,0.81,,0.82,,0.8,,,,0.83,,0.8,,,,,,,,,,,,,,,,,,
