Unnamed: 0,a11,a17,a23,a30,a36,a42,a48,a54,a60,a66,a72,a79,a85,a91,a97,a100,Upper_Scale,Lower_Scale,b5,b9,b10,b11,b13,b14,b17,b19,b30,b32,b33,b34,b35,b49,b50,b51,b52,b4,b8,b25,b66,b67,b68,b73,b77,b78,b79,b96,b97,b98,b103,b107,b108,b109,a1,a6,a12,a18,a25,a31,a37,a43,a49,a55,a61,a67,a73,a80,a86,a92,a5,a10,a16,a22,a29,a35,a41,a47,a53,a59,a65,a71,a77,a78,a84,a90,a96,a98,a2,a7,a13,a19,a24,a26,a32,a38,a44,a50,a56,a62,a68,a74,a75,a81,a87,a93
b44,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b45,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.85,0.85,0.83,0.85,0.84,0.8,0.87,,0.85,0.81,0.84,0.8,0.82,0.82,0.85,,,,,,,,,,,,,,,,,,
b46,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.8,,0.84,0.84,0.83,0.84,0.84,0.8,0.86,,0.85,0.8,0.83,0.8,0.82,0.82,0.85,,,,,,,,,,,,,,,,,,
b47,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.82,0.83,0.82,0.83,0.83,,0.86,,0.83,,0.82,0.8,0.81,0.82,0.84,,,,,,,,,,,,,,,,,,
b48,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,0.82,0.83,0.82,0.82,0.82,,0.84,,0.82,,0.8,,0.81,0.8,0.83,,,,,,,,,,,,,,,,,,
b53,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.8,,,,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,
b54,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.81,,0.8,,0.81,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
b55,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.87,0.87,0.84,0.88,0.86,0.81,0.88,,0.88,0.81,0.84,0.82,0.84,0.84,0.88,,,,,,,,,,,,,,,,,,
b56,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,0.8,0.8,,0.81,,0.83,,0.8,,0.82,,0.8,,0.81,,,,,,,,,,,,,,,,,,
b57,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.8,,,,0.8,,,,,0.8,0.81,,,,,,,,,,,,,,,,,,,,
b58,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.93,0.89,0.85,0.91,0.84,,0.91,,0.91,,0.84,0.8,0.82,0.86,0.9,,,,,,,,,,,,,,,,,,
b59,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.8,,0.85,0.86,0.83,0.85,0.85,0.8,0.87,,0.86,0.81,0.83,0.81,0.83,0.82,0.86,,,,,,,,,,,,,,,,,,
b60,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.8,0.8,0.81,0.8,0.82,,0.83,,0.8,,0.81,,0.8,,0.82,,,,,,,,,,,,,,,,,,
b63,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
b64,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.8,0.8,0.81,,0.81,,0.84,,0.8,,0.8,,0.83,,0.81,,,,,,,,,,,,,,,,,,
b65,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.81,0.8,0.82,0.81,0.82,,0.84,,0.81,,0.81,,0.83,0.8,0.82,,,,,,,,,,,,,,,,,,
b74,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
b75,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,0.8,0.88,0.86,0.86,0.86,0.84,0.82,0.89,,0.88,,0.84,0.83,0.85,0.85,0.88,,,,,,,,,,,,,,,,,,
b83,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.8,0.8,,0.81,,0.82,,0.8,,,,0.83,,0.8,,,,,,,,,,,,,,,,,,
b85,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.83,0.84,0.82,0.83,0.8,,0.85,,0.83,,0.81,,0.81,0.8,0.84,,,,,,,,,,,,,,,,,,
b86,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b89,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b91,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b93,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.8,,0.82,0.84,0.83,0.82,0.84,0.81,0.85,,0.84,0.8,0.82,0.82,0.83,0.81,0.84,,,,,,,,,,,,,,,,,,
b94,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,0.92,0.9,0.85,0.91,0.86,0.81,0.91,0.8,0.9,0.8,0.86,0.81,0.84,0.85,0.91,,,,,,,,,,,,,,,,,,
b95,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.8,,0.88,0.87,0.86,0.88,0.88,0.82,0.91,,0.88,0.82,0.85,0.83,0.87,0.85,0.89,,,,,,,,,,,,,,,,,,
b104,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,0.8,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
b105,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,
b113,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b115,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,0.8,0.8,,0.81,,0.83,,0.8,,0.82,,0.8,,0.81,,,,,,,,,,,,,,,,,,
b116,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,0.82,0.83,0.8,0.83,0.8,,0.84,,0.83,,0.81,,,0.8,0.83,,,,,,,,,,,,,,,,,,
b119,,,,,,,,,,,,,,,,,Emotionality,"Fearfulness, Anxiety, Protective Instinct, Emotional Sensitivity, Vulnerability, Withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,0.8,0.88,0.88,0.86,0.87,0.85,0.82,0.89,0.8,0.88,0.8,0.84,0.84,0.85,0.85,0.88,,,,,,,,,,,,,,,,,,
b1,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,0.87
b2,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,0.81
b3,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,0.86
b61,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.8,,,
b62,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b80,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,0.82,,,,,,0.8,,0.81
b88,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b92,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b110,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,
b118,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,0.8
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Consistency,,,,,,,,,,,,,,,,,Conscientiousness,"Self-Discipline, Responsibility, Organization, Achievement Striving, Cautiousness, Consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Competitive Attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Assertion of Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Defensive Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Territoriality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Hard Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Social Conflict and Ownership Defense,Self-Interest Priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
